displayname,patchname,msb,lsb,programchange,poly,arp,categories,digitakt-bank,digitakt-sbnk,digitakt-programchange,designer-proximity,designer-name,designer-proximity,original-patchname
C009,SimpleSeq,2,,8,,,Keys,3,,9,SCD,Something Completely Different (Boele Gerkes),4,SimpleSeq    SCD
C010,404 Found,2,,9,,,Init,3,,10,CA,Unknown (CA),2,404 Found  CA
C011,OrganClav,2,,10,,,Keys,3,,11,T,Tsching (Holger Steinbrink),6,OrganClav      T
C012,Encinarejo,2,,11,,,Lead,3,,12,CA,Unknown (CA),4,Encinarejo    CA
C013,Morphorgan,2,,12,,,Keys,3,,13,T,Tsching (Holger Steinbrink),5,Morphorgan     T
C014,Vic 20,2,,13,,,Lead,3,,14,CA,Unknown (CA),8,Vic 20        CA
C015,Warning,2,,14,,,Keys,3,,15,SCD,Something Completely Different (Boele Gerkes),6,Warning      SCD
C016,Jaws    CitCA y,2,,15,,,Init,3,,16,,,,
C017,Bad Highpass,2,,16,,,Keys,3,,17,SCD,Something Completely Different (Boele Gerkes),1,Bad Highpass SCD
C018,Bottle,2,,17,,,Lead,3,,18,CA,Unknown (CA),8,Bottle        CA
C019,2 Cats,2,,18,,,Keys,3,,19,SCD,Something Completely Different (Boele Gerkes),7,2 Cats       SCD
C020,Sa Calobra,2,,19,,,Atmo,3,,20,CA,Unknown (CA),4,Sa Calobra    CA
C021,FlangerSaw,2,,20,,,Poly,3,,21,SCD,Something Completely Different (Boele Gerkes),3,FlangerSaw   SCD
C022,Graja,2,,21,,,Bass,3,,22,CA,Unknown (CA),9,Graja         CA
C023,BloAttack,2,,22,,,Keys,3,,23,SCD,Something Completely Different (Boele Gerkes),4,BloAttack    SCD
C024,Table FM,2,,23,,,Poly,3,,24,SCD,Something Completely Different (Boele Gerkes),5,Table FM     SCD
C025,Glockenklang,2,,24,,,Keys,3,,25,T,Tsching (Holger Steinbrink),3,Glockenklang   T
C026,Flowinx,2,,25,,,FX,3,,26,CA,Unknown (CA),7,Flowinx       CA
C027,BloodLife,2,,26,,,Poly,3,,27,SCD,Something Completely Different (Boele Gerkes),4,BloodLife    SCD
C028,2Osc Sync,2,,27,,,Poly,3,,28,SCD,Something Completely Different (Boele Gerkes),4,2Osc Sync    SCD
C029,Latmo,2,,28,,,Atmo,3,,29,T,Tsching (Holger Steinbrink),9,Latmo          T
C030,Halloween,2,,29,,,Atmo,3,,30,T,Tsching (Holger Steinbrink),6,Halloween      T
C031,Down to 5kHz,2,,30,,,Atmo,3,,31,T,Tsching (Holger Steinbrink),3,Down to 5kHz   T
C032,Filter FM,2,,31,,,Atmo,3,,32,SCD,Something Completely Different (Boele Gerkes),4,Filter FM    SCD
C033,Comb-at,2,,32,,,FX,3,,33,CA,Unknown (CA),7,Comb-at       CA
C034,Borg Cubus,2,,33,,,Atmo,3,,34,T,Tsching (Holger Steinbrink),5,Borg Cubus     T
C035,Relax3,2,,34,,,Atmo,3,,35,SCD,Something Completely Different (Boele Gerkes),7,Relax3       SCD
C036,Mahlstrom,2,,35,,,Atmo,3,,36,T,Tsching (Holger Steinbrink),6,Mahlstrom      T
C037,AM on Sinus,2,,36,,,Atmo,3,,37,SCD,Something Completely Different (Boele Gerkes),2,AM on Sinus  SCD
C038,19/20,2,,37,,,FX,3,,38,T,Tsching (Holger Steinbrink),9,19/20          T
C039,What?,2,,38,,,FX,3,,39,SCD,Something Completely Different (Boele Gerkes),8,What?        SCD
C040,StefanIsMad,2,,39,,,FX,3,,40,SCD,Something Completely Different (Boele Gerkes),2,StefanIsMad  SCD
C041,ReverseWhoosch,2,,40,,,FX,3,,41,T,Tsching (Holger Steinbrink),1,ReverseWhoosch T
C042,50s Pad,2,,41,,,Pad,3,,42,T,Tsching (Holger Steinbrink),8,50s Pad        T
C043,Deepspace 9,2,,42,,,Pad,3,,43,ST,Unknown (ST),3,Deepspace 9   ST
C044,Chorus,2,,43,,,Pad,3,,44,WMF,Wolfram Franke,7,Chorus       WMF
C045,HP PPG,2,,44,,,Pad,3,,45,SCD,Something Completely Different (Boele Gerkes),7,HP PPG       SCD
C046,"Hmm, lecker",2,,45,,,Pad,3,,46,WMF,Wolfram Franke,2,"Hmm, lecker  WMF"
C047,Angel Pad,2,,46,,,Pad,3,,47,HS,Howard Scarr,5,Angel Pad     HS
C048,Heaven,2,,47,,,Pad,3,,48,JL,Juho Lepisto,8,Heaven        JL
C049,Blovachord,2,,48,,,Pad,3,,49,SCD,Something Completely Different (Boele Gerkes),3,Blovachord   SCD
C050,MeetInTheSky,2,,49,,,Pad,3,,50,SCD,Something Completely Different (Boele Gerkes),1,MeetInTheSky SCD
C051,Padings,2,,50,,,Pad,3,,51,HM,Hubertus Maas,7,Padings       HM
C052,Om mani padme,2,,51,,,Pad,3,,52,HM,Hubertus Maas,1,Om mani padme HM
C053,Raising Sun,2,,52,,,Pad,3,,53,T,Tsching (Holger Steinbrink),4,Raising Sun    T
C054,Slow Wavetrip,2,,53,,,Pad,3,,54,T,Tsching (Holger Steinbrink),2,Slow Wavetrip  T
C055,Brightseite,2,,54,,,Pad,3,,55,T,Tsching (Holger Steinbrink),4,Brightseite    T
C056,LateNightPad,2,,55,,,Pad,3,,56,T,Tsching (Holger Steinbrink),3,LateNightPad   T
C057,Angels Cry,2,,56,,,Pad,3,,57,JL,Juho Lepisto,4,Angels Cry    JL
C058,Phalanx,2,,57,,,Pad,3,,58,ST,Unknown (ST),7,Phalanx       ST
C059,The Bridge,2,,58,,,Pad,3,,59,SK,Unknown (SK),4,The Bridge    SK
C060,ObiWahnPad,2,,59,,,Pad,3,,60,SK,Unknown (SK),4,ObiWahnPad    SK
C061,Sonnenaufgang,2,,60,,,Pad,3,,61,T,Tsching (Holger Steinbrink),2,Sonnenaufgang  T
C062,Queen-mom,2,,61,,,Pad,3,,62,HM,Hubertus Maas,5,Queen-mom     HM
C063,DarkQuietPad,2,,62,,,Pad,3,,63,T,Tsching (Holger Steinbrink),3,DarkQuietPad   T
C064,Geiler Lurch,2,,63,,,Pad,3,,64,T,Tsching (Holger Steinbrink),3,Geiler Lurch   T
C065,Zeitlos,2,,64,,,Pad,3,,65,T,Tsching (Holger Steinbrink),8,Zeitlos        T
C066,MI5 Pad,2,,65,,,Pad,3,,66,ugh,Uwe G. Hoenig,6,MI5 Pad      ugh
C067,Octopussy Pad,2,,66,,,Pad,3,,67,T,Tsching (Holger Steinbrink),2,Octopussy Pad  T
C068,Like Wool,2,,67,,,Pad,3,,68,HM,Hubertus Maas,5,Like Wool     HM
C069,di-Fusion,2,,68,,,Pad,3,,69,T,Tsching (Holger Steinbrink),6,di-Fusion      T
C070,Go to Pad,2,,69,,,Pad,3,,70,T,Tsching (Holger Steinbrink),6,Go to Pad      T
C071,Kiddings,2,,70,,,Pad,3,,71,HM,Hubertus Maas,6,Kiddings      HM
C072,Harsh Pad,2,,71,,,Pad,3,,72,T,Tsching (Holger Steinbrink),6,Harsh Pad      T
C073,Broadway,2,,72,,,Pad,3,,73,ugh,Uwe G. Hoenig,5,Broadway     ugh
C074,Neocrest,2,,73,,,Pad,3,,74,ST,Unknown (ST),6,Neocrest      ST
C075,BandSpass,2,,74,,,Pad,3,,75,T,Tsching (Holger Steinbrink),6,BandSpass      T
C076,Event Horizon,2,,75,,,Pad,3,,76,T,Tsching (Holger Steinbrink),2,Event Horizon  T
C077,Long Sweep,2,,76,,,Pad,3,,77,T,Tsching (Holger Steinbrink),5,Long Sweep     T
C078,DisharmonicPad,2,,77,,,Atmo,3,,78,T,Tsching (Holger Steinbrink),1,DisharmonicPad T
C079,Goldfinger Pad,2,,78,,,Pad,3,,79,T,Tsching (Holger Steinbrink),1,Goldfinger Pad T
C080,Wartofsky 2.0,2,,79,,,Pad,3,,80,T,Tsching (Holger Steinbrink),2,Wartofsky 2.0  T
C081,S&H&Pad&Nice,2,,80,,,Pad,3,,81,WMF,Wolfram Franke,1,S&H&Pad&Nice WMF
C082,Attacke,2,,81,,,Pad,3,,82,WMF,Wolfram Franke,6,Attacke      WMF
C083,Moving,2,,82,,,Pad,3,,83,SCD,Something Completely Different (Boele Gerkes),7,Moving       SCD
C084,Q-rious?,2,,83,,,Pad,3,,84,WMF,Wolfram Franke,5,Q-rious?     WMF
C085,Bioshock,2,,84,,,Pad,3,,85,JL,Juho Lepisto,6,Bioshock      JL
C086,With Love,2,,85,,,Pad,3,,86,WMF,Wolfram Franke,4,With Love    WMF
C087,Mellow Tron,2,,86,,,Pad,3,,87,TK,Unknown (TK),3,Mellow Tron   TK
C088,JV HardBass,2,,87,,,Bass,3,,88,,,,
C089,PredictaBass,2,,88,,,Bass,3,,89,WMF,Wolfram Franke,1,PredictaBass WMF
C090,Phalanx Bass,2,,89,,,Bass,3,,90,,,,
C091,BassterKeaton,2,,90,,,Bass,3,,91,T,Tsching (Holger Steinbrink),2,BassterKeaton  T
C092,Narrow,2,,91,,,Bass,3,,92,,,,
C093,Drum'n'Bass 1,2,,92,,,Bass,3,,93,,,,
C094,Mars Mouse,2,,93,,,Bass,3,,94,,,,
C095,Fonky Fonky,2,,94,,,Bass,3,,95,,,,
C096,Frittenlos,2,,95,,,Bass,3,,96,,,,
C097,Mo'Grass,2,,96,,,Bass,3,,97,,,,
C098,Bassanova,2,,97,,,Bass,3,,98,,,,
C099,2Step Bass,2,,98,,,Bass,3,,99,,,,
C100,TockTock,2,,99,,,Bass,3,,100,,,,
C101,Silicon Base,2,,100,,,Bass,3,,101,,,,
C102,Ultra Sub 1,2,,101,,,Bass,3,,102,,,,
C103,Ultra Sub 2,2,,102,,,Bass,3,,103,,,,
C104,WhopWhop,2,,103,,,Bass,3,,104,,,,
C105,Acrylic Bass,2,,104,,,Bass,3,,105,,,,
C106,Ringmono,2,,105,,,Bass,3,,106,,,,
C107,CascadeVCF,2,,106,,,Bass,3,,107,,,,
C108,303 Wanna Be,2,,107,,,Bass,3,,108,,,,
C109,Morph Bass,2,,108,,,Bass,3,,109,ST,Unknown (ST),4,Morph Bass    ST
C110,Q-Timps,2,,109,,,Bass,3,,110,,,,
C111,DeepHouse,2,,110,,,Keys,3,,111,SK,Unknown (SK),5,DeepHouse     SK
C112,FM Roads,2,,111,,,Keys,3,,112,HS,Howard Scarr,6,FM Roads      HS
C113,DX-ClassiQ,2,,112,,,Keys,3,,113,HS,Howard Scarr,4,DX-ClassiQ    HS
C114,Hippy Freuds,2,,113,,,Keys,3,,114,HS,Howard Scarr,2,Hippy Freuds  HS
C115,Shed,2,,114,,,Keys,3,,115,HM,Hubertus Maas,9,Shed          HM
C116,Harpsi,2,,115,,,Keys,3,,116,HS,Howard Scarr,8,Harpsi        HS
C117,Easy Piano,2,,116,,,Keys,3,,117,HS,Howard Scarr,4,Easy Piano    HS
C118,Lounge Morph,2,,117,,,Keys,3,,118,HS,Howard Scarr,2,Lounge Morph  HS
C119,BloodyFeld,2,,118,,,Keys,3,,119,SCD,Something Completely Different (Boele Gerkes),3,BloodyFeld   SCD
C120,ModWheelOrgan,2,,119,,,Keys,3,,120,SCD,Something Completely Different (Boele Gerkes),0,ModWheelOrganSCD
C121,Minor Chords,2,,120,,,Seq,3,,121,T,Tsching (Holger Steinbrink),3,Minor Chords   T
C122,Ice Bells,2,,121,,,Seq,3,,122,SK,Unknown (SK),5,Ice Bells     SK
C123,Bone Soup,2,,122,,,FX,3,,123,,,,
C124,DCS3 Bubbles,2,,123,,,FX,3,,124,,,,
C125,Flying Teapot,2,,124,,,FX,3,,125,,,,
C126,Gastrology,2,,125,,,FX,3,,126,,,,
C127,Into Mouth,2,,126,,,FX,3,,127,,,,
C128,Whoosch,2,,127,,,FX,3,,128,T,Tsching (Holger Steinbrink),8,Whoosch        T
D001,UltraFatPoly,3,,0,,,Poly,4,,1,WMF,Wolfram Franke,1,UltraFatPoly WMF
D002,Brass Comp,3,,1,,,Poly,4,,2,HM,Hubertus Maas,4,Brass Comp    HM
D003,Pussy Galore,3,,2,,,Poly,4,,3,T,Tsching (Holger Steinbrink),3,Pussy Galore   T
D004,Euro-Zeichen,3,,3,,,Poly,4,,4,HS,Howard Scarr,2,Euro-Zeichen  HS
D005,Brassy House,3,,4,,,Poly,4,,5,SK,Unknown (SK),2,Brassy House  SK
D006,BestOfThe80s,3,,5,,,Poly,4,,6,T,Tsching (Holger Steinbrink),3,BestOfThe80s   T
D007,Classic Synth,3,,6,,,Poly,4,,7,T,Tsching (Holger Steinbrink),2,Classic Synth  T
D008,WT mess,3,,7,,,Poly,4,,8,SCD,Something Completely Different (Boele Gerkes),5,WT mess     SCD
D009,Leadrunner,3,,8,,,Poly,4,,9,HS,Howard Scarr,4,Leadrunner    HS
D010,10VoicePS3100,3,,9,,,Poly,4,,10,SCD,Something Completely Different (Boele Gerkes),0,10VoicePS3100SCD
D011,Patagonia,3,,10,,,Poly,4,,11,HS,Howard Scarr,5,Patagonia     HS
D012,Quintage,3,,11,,,Poly,4,,12,T,Tsching (Holger Steinbrink),7,Quintage       T
D013,RoundTheHorn,3,,12,,,Poly,4,,13,HS,Howard Scarr,2,RoundTheHorn  HS
D014,Net Profit,3,,13,,,Poly,4,,14,HS,Howard Scarr,4,Net Profit    HS
D015,SyncMush,3,,14,,,Poly,4,,15,DocT,Stefan Trippler,4,SyncMush    DocT
D016,Tron Flutes,3,,15,,,Poly,4,,16,HM,Hubertus Maas,3,Tron Flutes   HM
D017,Qazzio,3,,16,,,Poly,4,,17,HS,Howard Scarr,8,Qazzio        HS
D018,VintageSpring,3,,17,,,Poly,4,,18,WMF,Wolfram Franke,0,VintageSpringWMF
D019,Zawichords,3,,18,,,Poly,4,,19,HS,Howard Scarr,4,Zawichords    HS
D020,Spring Clean,3,,19,,,Poly,4,,20,HS,Howard Scarr,2,Spring Clean  HS
D021,Papathanasiou,3,,20,,,Poly,4,,21,T,Tsching (Holger Steinbrink),2,Papathanasiou  T
D022,FloorFilla,3,,21,,,Poly,4,,22,SK,Unknown (SK),4,FloorFilla    SK
D023,Hyper,3,,22,,,Poly,4,,23,DocT,Stefan Trippler,7,Hyper       DocT
D024,Dr. Motte,3,,23,,,Poly,4,,24,T,Tsching (Holger Steinbrink),6,Dr. Motte      T
D025,FilterFM Keys,3,,24,,,Poly,4,,25,T,Tsching (Holger Steinbrink),2,FilterFM Keys  T
D026,80sFM Analog,3,,25,,,Poly,4,,26,SK,Unknown (SK),2,80sFM Analog  SK
D027,Analog Lute,3,,26,,,Poly,4,,27,HS,Howard Scarr,3,Analog Lute   HS
D028,D-NoiZer,3,,27,,,Poly,4,,28,SK,Unknown (SK),6,D-NoiZer      SK
D029,Crawlers,3,,28,,,Poly,4,,29,SK,Unknown (SK),6,Crawlers      SK
D030,Brownies,3,,29,,,Poly,4,,30,WMF,Wolfram Franke,5,Brownies     WMF
D031,Late Ring,3,,30,,,Poly,4,,31,HS,Howard Scarr,5,Late Ring     HS
D032,RingThemBells,3,,31,,,Poly,4,,32,SCD,Something Completely Different (Boele Gerkes),0,RingThemBellsSCD
D033,TributeTo DX,3,,32,,,Poly,4,,33,WMF,Wolfram Franke,1,TributeTo DX WMF
D034,WhatYouSay?,3,,33,,,Poly,4,,34,SCD,Something Completely Different (Boele Gerkes),2,WhatYouSay?  SCD
D035,Atlantis,3,,34,,,Atmo,4,,35,T,Tsching (Holger Steinbrink),7,Atlantis       T
D036,Atmostrobe,3,,35,,,Atmo,4,,36,T,Tsching (Holger Steinbrink),5,Atmostrobe     T
D037,Background,3,,36,,,Atmo,4,,37,T,Tsching (Holger Steinbrink),5,Background     T
D038,Baraka,3,,37,,,Atmo,4,,38,T,Tsching (Holger Steinbrink),9,Baraka         T
D039,Beautiful Sky,3,,38,,,Atmo,4,,39,T,Tsching (Holger Steinbrink),2,Beautiful Sky  T
D040,Clink Clash,3,,39,,,Atmo,4,,40,T,Tsching (Holger Steinbrink),4,Clink Clash    T
D041,Comb Tree,3,,40,,,Atmo,4,,41,T,Tsching (Holger Steinbrink),6,Comb Tree      T
D042,Drift,3,,41,,,Atmo,4,,42,,,,
D043,Fear'n'Loath,3,,42,,,Atmo,4,,43,,,,
D044,Flinker,3,,43,,,Atmo,4,,44,,,,
D045,Orthanc,3,,44,,,Atmo,4,,45,T,Tsching (Holger Steinbrink),8,Orthanc        T
D046,RePression,3,,45,,,Atmo,4,,46,T,Tsching (Holger Steinbrink),5,RePression     T
D047,Royalties,3,,46,,,Atmo,4,,47,,,,
D048,Biosphere,3,,47,,,Atmo,4,,48,T,Tsching (Holger Steinbrink),6,Biosphere      T
D049,Spitzbergen,3,,48,,,Atmo,4,,49,T,Tsching (Holger Steinbrink),4,Spitzbergen    T
D050,Stratosphere,3,,49,,,Atmo,4,,50,T,Tsching (Holger Steinbrink),3,Stratosphere   T
D051,Swiss Atmo,3,,50,,,Atmo,4,,51,T,Tsching (Holger Steinbrink),5,Swiss Atmo     T
D052,Upstream,3,,51,,,Atmo,4,,52,T,Tsching (Holger Steinbrink),7,Upstream       T
D053,VeryCompleqs,3,,52,,,Atmo,4,,53,,,,
D054,Waterworld,3,,53,,,Atmo,4,,54,T,Tsching (Holger Steinbrink),5,Waterworld     T
D055,RingmodFart,3,,54,,,Atmo,4,,55,SCD,Something Completely Different (Boele Gerkes),2,RingmodFart  SCD
D056,Vangelibells,3,,55,,,Atmo,4,,56,SCD,Something Completely Different (Boele Gerkes),1,Vangelibells SCD
D057,PolterBlofeld,3,,56,,,Atmo,4,,57,SCD,Something Completely Different (Boele Gerkes),0,PolterBlofeldSCD
D058,Ambishous,3,,57,,,Atmo,4,,58,,,,
D059,ScaramangAtmo,3,,58,,,Atmo,4,,59,T,Tsching (Holger Steinbrink),2,ScaramangAtmo  T
D060,CS4O RingMod,3,,59,,,Mono,4,,60,T,Tsching (Holger Steinbrink),3,CS4O RingMod   T
D061,ReSolotion,3,,60,,,Mono,4,,61,WMF,Wolfram Franke,3,ReSolotion   WMF
D062,Anna Powers,3,,61,,,Mono,4,,62,HM,Hubertus Maas,3,Anna Powers   HM
D063,HardSaw,3,,62,,,Lead,4,,63,ST,Unknown (ST),7,HardSaw       ST
D064,X-Feels,3,,63,,,Mono,4,,64,,,,
D065,Bach Whistler,3,,64,,,Mono,4,,65,,,,
D066,Modulator,3,,65,,,Mono,4,,66,,,,
D067,NoisyLead,3,,66,,,Mono,4,,67,,,,
D068,Pulsar Solo,3,,67,,,Mono,4,,68,,,,
D069,Starweed,3,,68,,,Mono,4,,69,,,,
D070,Saw 1 Osc,3,,69,,,Lead,4,,70,WMF,Wolfram Franke,4,Saw 1 Osc    WMF
D071,Old Squares,3,,70,,,Mono,4,,71,,,,
D072,Crazy Parade,3,,71,,,Mono,4,,72,,,,
D073,Monoguitar,3,,72,,,Mono,4,,73,,,,
D074,Eff Emmd!,3,,73,,,Mono,4,,74,,,,
D075,DiscoPhonic,3,,74,,,Mono,4,,75,,,,
D076,Moany,3,,75,,,Mono,4,,76,,,,
D077,MiniDuke Solo,3,,76,,,Mono,4,,77,,,,
D078,FictionGuitar,3,,77,,,Mono,4,,78,,,,
D079,Autobahn,3,,78,,,Mono,4,,79,jh,Joerg Huettner,6,Autobahn      jh
D080,MoogSolo,3,,79,,,Mono,4,,80,HS,Howard Scarr,6,MoogSolo      HS
D081,LA-Pipe,3,,80,,,Lead,4,,81,HS,Howard Scarr,7,LA-Pipe       HS
D082,Clinics,3,,81,,,Lead,4,,82,WMF,Wolfram Franke,6,Clinics      WMF
D083,Attacke,3,,82,,,Arp,4,,83,WMF,Wolfram Franke,6,Attacke      WMF
D084,Expensive2,3,,83,,,Arp,4,,84,WMF,Wolfram Franke,3,Expensive2   WMF
D085,ZZ-you,3,,84,,,Arp,4,,85,,,,
D086,Juanita,3,,85,,,Arp,4,,86,T,Tsching (Holger Steinbrink),8,Juanita        T
D087,Ricochet2008,3,,86,,,Arp,4,,87,SCD,Something Completely Different (Boele Gerkes),1,Ricochet2008 SCD
D088,Spiffing,3,,87,,,Arp,4,,88,,,,
D089,StarSoldiers,3,,88,,,Arp,4,,89,,,,
D090,Slow Pop,3,,89,,,Arp,4,,90,,,,
D091,Space Arp 1,3,,90,,,Arp,4,,91,,,,
D092,Space Arp 2,3,,91,,,Arp,4,,92,,,,
D093,Goonraker,3,,92,,,Arp,4,,93,DocT,Stefan Trippler,3,Goonraker   DocT
D094,Sierra Velone,3,,93,,,Arp,4,,94,,,,
D095,Selbstlaeufer,3,,94,,,Arp,4,,95,T,Tsching (Holger Steinbrink),2,Selbstlaeufer  T
D096,GeeGaGooQ,3,,95,,,Arp,4,,96,WMF,Wolfram Franke,4,GeeGaGooQ    WMF
D097,PassPortament,3,,96,,,Arp,4,,97,,,,
D098,cARPet,3,,97,,,Arp,4,,98,T,Tsching (Holger Steinbrink),9,cARPet         T
D099,DeluXaflex,3,,98,,,Arp,4,,99,RJ,Unknown (RJ),4,DeluXaflex    RJ
D100,E-Motion,3,,99,,,Arp,4,,100,,,,
D101,AthmoDrops,3,,100,,,Arp,4,,101,,,,
D102,1DrunkenStenz,3,,101,,,Arp,4,,102,,,,
D103,Weirdo FX,3,,102,,,Arp,4,,103,,,,
D104,Solaris,3,,103,,,Atmo,4,,104,,,,
D105,SoundScapes 1,3,,104,,,Atmo,4,,105,,,,
D106,Spektrum Pad,3,,105,,,Atmo,4,,106,,,,
D107,Sphere,3,,106,,,Atmo,4,,107,,,,
D108,Spitzbergen,3,,107,,,Atmo,4,,108,,,,
D109,Stratosphere,3,,108,,,Atmo,4,,109,,,,
D110,Swiss Atmo,3,,109,,,Atmo,4,,110,,,,
D111,The 5th Atmo,3,,110,,,Atmo,4,,111,,,,
D112,The Fog,3,,111,,,Atmo,4,,112,,,,
D113,The Year 3000,3,,112,,,Atmo,4,,113,,,,
D114,Thin Ice,3,,113,,,Atmo,4,,114,,,,
D115,ThrillerOrgan,3,,114,,,Atmo,4,,115,,,,
D116,Tire-Guy,3,,115,,,Atmo,4,,116,,,,
D117,TschingHisCan,3,,116,,,Atmo,4,,117,,,,
D118,Upstream,3,,117,,,Atmo,4,,118,,,,
D119,ValeyPad,3,,118,,,Atmo,4,,119,,,,
D120,Vanilla Sky,3,,119,,,Atmo,4,,120,,,,
D121,Orthanc,3,,120,,,Atmo,4,,121,,,,
D122,Lettland,3,,121,,,Atmo,4,,122,,,,
D123,Wartofsky,3,,122,,,Pad,4,,123,T,Tsching (Holger Steinbrink),6,Wartofsky      T
D124,Wavescapes 1,3,,123,,,Pad,4,,124,,,,
D125,Wavescapes 2,3,,124,,,Pad,4,,125,,,,
D126,Wavescapes 3,3,,125,,,Pad,4,,126,,,,
D127,WideWarmWash,3,,126,,,Pad,4,,127,WMF,Wolfram Franke,1,WideWarmWash WMF
D128,The Carpet,3,,127,,,Pad,4,,128,,,,
E001,With Love,4,,0,,,Pad,5,,1,WMF,Wolfram Franke,4,With Love    WMF
E002,ScaramangAtmo,4,,1,,,Atmo,5,,2,T,Tsching (Holger Steinbrink),2,ScaramangAtmo  T
E003,Handy,4,,2,,,Arp,5,,3,H2SCD,Hans Herooms & Something Completely Different (Boele Gerkes),6,Handy      H2SCD
E004,Angels Cry,4,,3,,,Pad,5,,4,JL,Juho Lepisto,4,Angels Cry    JL
E005,Chorus,4,,4,,,Pad,5,,5,WMF,Wolfram Franke,7,Chorus       WMF
E006,ModWheelOrgan,4,,5,,,Keys,5,,6,SCD,Something Completely Different (Boele Gerkes),0,ModWheelOrganSCD
E007,SyncMush,4,,6,,,Poly,5,,7,DocT,Stefan Trippler,4,SyncMush    DocT
E008,Yummi,4,,7,,,Bass,5,,8,DocT,Stefan Trippler,7,Yummi       DocT
E009,Pussy Galore,4,,8,,,Poly,5,,9,T,Tsching (Holger Steinbrink),3,Pussy Galore   T
E010,Clinics,4,,9,,,Lead,5,,10,WMF,Wolfram Franke,6,Clinics      WMF
E011,CtrlAltDel,4,,10,,,Lead,5,,11,DocT,Stefan Trippler,2,CtrlAltDel  DocT
E012,Tines&Bars,4,,11,,,Keys,5,,12,WMF,Wolfram Franke,3,Tines&Bars   WMF
E013,Unstable,4,,12,,,Lead,5,,13,DocT,Stefan Trippler,4,Unstable    DocT
E014,Deepspace 9,4,,13,,,Pad,5,,14,ST,Unknown (ST),3,Deepspace 9   ST
E015,DrivingLicns,4,,14,,,Lead,5,,15,DocT,Stefan Trippler,0,DrivingLicnsDocT
E016,FlangedHeaven,4,,15,,,Arp,5,,16,SCD,Something Completely Different (Boele Gerkes),0,FlangedHeavenSCD
E017,Heaven,4,,16,,,Pad,5,,17,JL,Juho Lepisto,8,Heaven        JL
E018,"Hmm, lecker",4,,17,,,Pad,5,,18,WMF,Wolfram Franke,2,"Hmm, lecker  WMF"
E019,Horse Trip,4,,18,,,Arp,5,,19,SCD,Something Completely Different (Boele Gerkes),3,Horse Trip   SCD
E020,Inversion,4,,19,,,Atmo,5,,20,DocT,Stefan Trippler,3,Inversion   DocT
E021,JMX vs. DeLeon,4,,20,,,Poly,5,,21,,,,
E022,LA Woman,4,,21,,,Keys,5,,22,H2SCD,Hans Herooms & Something Completely Different (Boele Gerkes),3,LA Woman   H2SCD
E023,Minor Chords,4,,22,,,Seq,5,,23,,,,
E024,MoogSolo 2,4,,23,,,Mono,5,,24,,,,
E025,OhMyLord,4,,24,,,Keys,5,,25,DocT,Stefan Trippler,4,OhMyLord    DocT
E026,PPG Bells,4,,25,,,Poly,5,,26,WMF,Wolfram Franke,4,PPG Bells    WMF
E027,PPGesus,4,,26,,,Pad,5,,27,SCD,Something Completely Different (Boele Gerkes),6,PPGesus      SCD
E028,Quadratur,4,,27,,,Lead,5,,28,DocT,Stefan Trippler,3,Quadratur   DocT
E029,RingmodFart,4,,28,,,FX,5,,29,SCD,Something Completely Different (Boele Gerkes),2,RingmodFart  SCD
E030,Schnoerkelos,4,,29,,,Lead,5,,30,DocT,Stefan Trippler,0,SchnoerkelosDocT
E031,Schulze?,4,,30,,,Arp,5,,31,SCD,Something Completely Different (Boele Gerkes),5,Schulze?     SCD
E032,shArp,4,,31,,,Arp,5,,32,DocT,Stefan Trippler,7,shArp       DocT
E033,Space Echo,4,,32,,,Keys,5,,33,SCD,Something Completely Different (Boele Gerkes),3,Space Echo   SCD
E034,Synthline,4,,33,,,Pad,5,,34,JL,Juho Lepisto,5,Synthline     JL
E035,Taken!,4,,34,,,Arp,5,,35,SCD,Something Completely Different (Boele Gerkes),7,Taken!       SCD
E036,TouchyBugger,4,,35,,,Bass,5,,36,DocT,Stefan Trippler,0,TouchyBuggerDocT
E037,UpperWarp,4,,36,,,Arp,5,,37,SCD,Something Completely Different (Boele Gerkes),4,UpperWarp    SCD
E038,WhatYouSay?,4,,37,,,Poly,5,,38,SCD,Something Completely Different (Boele Gerkes),2,WhatYouSay?  SCD
E039,WT mess,4,,38,,,Poly,5,,39,SCD,Something Completely Different (Boele Gerkes),5,WT mess     SCD
E040,10VoicePS3100,4,,39,,,Poly,5,,40,SCD,Something Completely Different (Boele Gerkes),0,10VoicePS3100SCD
E041,ArcoStrings,4,,40,,,Pad,5,,41,TEK,"Till ""QWave"" Kopper",2,ArcoStrings  TEK
E042,Blocked,4,,41,,,Keys,5,,42,SCD,Something Completely Different (Boele Gerkes),6,Blocked      SCD
E043,Blolitzer,4,,42,,,Keys,5,,43,SCD,Something Completely Different (Boele Gerkes),4,Blolitzer    SCD
E044,BloodyFeld,4,,43,,,Keys,5,,44,SCD,Something Completely Different (Boele Gerkes),3,BloodyFeld   SCD
E045,BloSync,4,,44,,,Lead,5,,45,DocT,Stefan Trippler,5,BloSync     DocT
E046,Blovachord,4,,45,,,Pad,5,,46,SCD,Something Completely Different (Boele Gerkes),3,Blovachord   SCD
E047,Boele Keys,4,,46,,,Keys,5,,47,SCD,Something Completely Different (Boele Gerkes),3,Boele Keys   SCD
