displayname,patchname,msb,lsb,programchange,poly,arp,categories,dt-bank,dt-sbnk,dt-programchange
053,OSC-SyncLd 1,95,64,52,,,Lead,96,65,53
054,WaveShapeLd1,95,64,53,,,Lead,96,65,54
055,JD RingMod 1,95,64,54,,,Lead,96,65,55
056,Buzz Lead 1,95,64,55,,,Lead,96,65,56
057,Buzz Lead 2,95,64,56,,,Lead,96,65,57
058,SawBuzz Ld 1,95,64,57,,,Lead,96,65,58
059,Sqr Buzz Ld1,95,64,58,,,Lead,96,65,59
060,Tekno Lead 4,95,64,59,,,Lead,96,65,60
061,Dist Flt TB1,95,64,60,,,Lead,96,65,61
062,Dist TB Sqr1,95,64,61,,,Lead,96,65,62
063,Glideator 1,95,64,62,,,Lead,96,65,63
064,Vintager 1,95,64,63,,,Lead,96,65,64
065,Hover Lead 1,95,64,64,,,Lead,96,65,65
066,Saw Lead 1,95,64,65,,,Lead,96,65,66
067,Saw+Tri Lead,95,64,66,,,Lead,96,65,67
068,PortaSaw Ld1,95,64,67,,,Lead,96,65,68
069,Reso Saw Ld,95,64,68,,,Lead,96,65,69
070,SawTrap Ld 1,95,64,69,,,Lead,96,65,70
071,Fat GR Lead,95,64,70,,,Lead,96,65,71
072,Pulstar Ld,95,64,71,,,Lead,96,65,72
073,Slow Lead,95,64,72,,,Lead,96,65,73
074,AnaVox Lead,95,64,73,,,Lead,96,65,74
075,Square Ld 1,95,64,74,,,Lead,96,65,75
076,Square Ld 2,95,64,75,,,Lead,96,65,76
077,Sqr Lead 1,95,64,76,,,Lead,96,65,77
078,Sqr Trap Ld1,95,64,77,,,Lead,96,65,78
079,Sine Lead 1,95,64,78,,,Lead,96,65,79
080,Tri Lead,95,64,79,,,Lead,96,65,80
081,Tri Stac Ld1,95,64,80,,,Lead,96,65,81
082,5th SawLead1,95,64,81,,,Lead,96,65,82
083,Sweet 5th 1,95,64,82,,,Lead,96,65,83
084,4th Syn Lead,95,64,83,,,Lead,96,65,84
085,Maj Stack Ld,95,64,84,,,Lead,96,65,85
086,MinStack Ld1,95,64,85,,,Lead,96,65,86
087,Chubby Lead1,95,64,86,,,Lead,96,65,87
088,CuttingLead1,95,64,87,,,Lead,96,65,88
089,Seq Bass 1,95,64,88,,,Bass,96,65,89
090,Reso Bass 1,95,64,89,,,Bass,96,65,90
091,TB Bass 1,95,64,90,,,Bass,96,65,91
092,106 Bass 1,95,64,91,,,Bass,96,65,92
093,FilterEnvBs1,95,64,92,,,Bass,96,65,93
094,JUNO Sqr Bs1,95,64,93,,,Bass,96,65,94
095,Reso Bass 2,95,64,94,,,Bass,96,65,95
096,JUNO Bass,95,64,95,,,Bass,96,65,96
097,MG Bass 1,95,64,96,,,Bass,96,65,97
098,106 Bass 3,95,64,97,,,Bass,96,65,98
099,Reso Bass 3,95,64,98,,,Bass,96,65,99
100,Detune Bs 1,95,64,99,,,Bass,96,65,100
101,MKS-50 Bass1,95,64,100,,,Bass,96,65,101
102,Sweep Bass,95,64,101,,,Bass,96,65,102
103,MG Bass 2,95,64,102,,,Bass,96,65,103
104,MG Bass 3,95,64,103,,,Bass,96,65,104
105,ResRubber Bs,95,64,104,,,Bass,96,65,105
106,R&B Bass 1,95,64,105,,,Bass,96,65,106
107,Reso Bass 4,95,64,106,,,Bass,96,65,107
108,Wide Bass 1,95,64,107,,,Bass,96,65,108
109,Chow Bass 1,95,64,108,,,Bass,96,65,109
110,Chow Bass 2,95,64,109,,,Bass,96,65,110
111,SqrFilterBs1,95,64,110,,,Bass,96,65,111
112,Reso Bass 5,95,64,111,,,Bass,96,65,112
113,Syn Bass 1,95,64,112,,,Bass,96,65,113
114,ResoSawSynBs,95,64,113,,,Bass,96,65,114
115,Filter Bass1,95,64,114,,,Bass,96,65,115
116,SeqFltEnvBs,95,64,115,,,Bass,96,65,116
117,DnB Bass 1,95,64,116,,,Bass,96,65,117
118,UnisonSynBs1,95,64,117,,,Bass,96,65,118
119,Modular Bs,95,64,118,,,Bass,96,65,119
120,Monster Bs 1,95,64,119,,,Bass,96,65,120
